# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:press
10	1.2499999999999999e-02	0	0	-3	2	2	-5.0624999999999998e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	-2	2	2	-5.0375000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	-1	2	2	-5.0124999999999997e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	0	2	2	-4.9875000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	1	2	2	-4.9625000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	2	2	2	-4.9375000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	3	2	2	-4.9125000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	4	2	2	-4.8875000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	5	2	2	-4.8625000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	6	2	2	-4.8375000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	7	2	2	-4.8125000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	8	2	2	-4.7875000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	9	2	2	-4.7625000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	10	2	2	-4.7375000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	11	2	2	-4.7125000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	12	2	2	-4.6875000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	13	2	2	-4.6625000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	14	2	2	-4.6375000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	15	2	2	-4.6125000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	16	2	2	-4.5875000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	17	2	2	-4.5625000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	18	2	2	-4.5375000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	19	2	2	-4.5125000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	20	2	2	-4.4875000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	21	2	2	-4.4625000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	22	2	2	-4.4375000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	23	2	2	-4.4125000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	24	2	2	-4.3875000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	25	2	2	-4.3625000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	26	2	2	-4.3375000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	27	2	2	-4.3125000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	28	2	2	-4.2875000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	29	2	2	-4.2625000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	30	2	2	-4.2375000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	31	2	2	-4.2125000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	32	2	2	-4.1875000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	33	2	2	-4.1625000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	34	2	2	-4.1375000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	35	2	2	-4.1125000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	36	2	2	-4.0875000000000006e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	37	2	2	-4.0625000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	38	2	2	-4.0375000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	39	2	2	-4.0125000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	40	2	2	-3.9875000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	41	2	2	-3.9624999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	42	2	2	-3.9375000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	43	2	2	-3.9125000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	44	2	2	-3.8875000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	45	2	2	-3.8625000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	46	2	2	-3.8375000000000004e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	47	2	2	-3.8125000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	48	2	2	-3.7875000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	49	2	2	-3.7625000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	50	2	2	-3.7375000000000003e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	51	2	2	-3.7125000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	52	2	2	-3.6875000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	53	2	2	-3.6625000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	54	2	2	-3.6375000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	55	2	2	-3.6125000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	56	2	2	-3.5875000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	57	2	2	-3.5625000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	58	2	2	-3.5375000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	59	2	2	-3.5125000000000006e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	60	2	2	-3.4875000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	61	2	2	-3.4625000000000006e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	62	2	2	-3.4375000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	63	2	2	-3.4125000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	64	2	2	-3.3875000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
10	1.2499999999999999e-02	0	0	65	2	2	-3.3625000000000005e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00
